"Symbol";"Name";"Interesting";"Description";"Assets";"ETF_Currency";"Industry";"Region";"Region_Currency";"Capitalisation";"Weighting";"Type";"P/E";"Dividends";"Long-Short";"Leverage";"ER";"Liquidity";"FX_risk";"Short_Name";"Bloomberg_Ticker";"ISIN";"Indexname";"Bloomberg_Index";"Reuters_Index"
"WEET";"iPath Pure Beta Grains ETN";"No";"Ok";"Commodities";"USD";"Agriculture (Grains)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A";"C+";"Yes";"Pure Beta Grains";"Check";"Check";"Check";"Check";"Check"
"WIP";"SPDR DB Intl Govt Infl-Protected Bond";"No";"Similar to one of the most popular ETFs among U.S. investors (TIP), WIP invests in inflation-protected Treasuries. Unlike TIP, however, WIP invests in only securities issued by non-U.S. governments, including both developed markets (e.g., UK and France) and emerging markets (e.g. Brazil and Mexico). Because the underlying assets of WIP increase in value as inflation rises, this ETF essentially offers a guaranteed real return, compared to traditional fixed income ETFs that may see erosion of their nominal returns in periods of high inflation.:::.";"Bonds";"USD";"State (Infl-Linked)";"Broad excl US";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"C+";"A";"Yes";"Intl Govt Infl-Protected Bond";"Check";"Check";"Check";"Check";"Check"
"WITE";"ETFS Physical White Metals Basket Shares";"No";"Ok";"Commodities";"USD";"Precious Metals (White Metals)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B+";"C+";"Yes";"ETFS Physical White Metals Basket Shares";"Check";"Check";"Check";"Check";"Check"
"WMCR";"Wilshire Micro-Cap ETF";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Small";"check";"No";"No";"No";"Long";"No";"B";"C+";"No FX risk for USD";"Wilshire Micro-Cap";"Check";"Check";"Check";"Check";"Check"
"WMW";"ELEMENTS Morningstar Wide Moat Focus ETN";"Moat";"The Index is derived from the universe of companies that Morningstar determines have wide moats. A wide-moat company is one that has a maintainable return on invested capital exceeding cost of capital and a sustainable competitive advantage. The Index is comprised of the common stocks of the twenty eligible companies within the Morningstar Wide Moat universe that have the highest ratio of fair value to stock price. The Index is a subset of the Morningstar US Market Index, a market index representing approximately 97% of U.S. equity market capitalization";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"Fundamentals";"No";"No";"Long";"No";"C+";"B";"No FX risk for USD";"Morningstar Wide Moat Focus";"Check";"Check";"Check";"Check";"Check"
"WOOD";"S&P Global Timber & Forestry Idx";"No";"Ok";"Equity";"USD";"Materials (Timber)";"Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"B+";"Yes";"S&P Global Timber & Forestry";"Check";"Check";"Check";"Check";"Check"
"WPS";"S&P Dev ex-US Property Index";"No";"Ok";"Real Estate";"USD";"Real Estate";"Broad excl US";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B+";"B+";"Yes";"S&P Dev ex-US Property";"Check";"Check";"Check";"Check";"Check"
"WREI";"Wilshire US REIT ETF";"No";"Ok";"Real Estate";"USD";"Real Estate";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"No";"A";"C";"No FX risk for USD";"Wilshire US REIT";"Check";"Check";"Check";"Check";"Check"
"XAR";"SPDR S&P Aerospace & Defense ETF ";"No";"The Index represents the Aerospace and Defense sector of the S&P Total Market Index (S&P TMI). The Index is one of nineteen (19) S&P Select Industry Indices (the Select Industry Indices), each designed to measure the performance of a narrow sub-industry or group of sub-industries as defined by the Global Industry Classification Standards (GICS).";"Equity";"USD";"Industrials (Aerospace & Defense)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"B-";"No FX risk for USD";"S&P Aerospace & Defense ";"Check";"Check";"Check";"Check";"Check"
"XBI";"SPDR S&P Biotech";"No";"ok";"Equity";"USD";"Healthcare (Biotechnology)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P Biotech";"Check";"Check";"Check";"Check";"Check"
"XES";"SPDR S&P Oil & Gas Equipment & Services";"No";"Ok";"Equity";"USD";"Energy (Oil Equipment & Services)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A-";"No FX risk for USD";"S&P Oil & Gas Equipment & Services";"Check";"Check";"Check";"Check";"Check"
"XHB";"SPDR S&P Homebuilders";"No";"ok";"Equity";"USD";"Real Estate (Homebuilders)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A+";"A+";"No FX risk for USD";"S&P Homebuilders";"Check";"Check";"Check";"Check";"Check"
"XHE";"SPDR S&P Health Care Equipment";"No";"This ETF invests in stocks of companies in the health care equipment and supplies sub-industry portion of the S&P Total Stock Market Index. This ETF provides targeted exposure to the health care equipment industry, which we deem as necessary given the high growth potential of this lucrative corner of the health sector. The health care equipment industry is expected to see continued strong growth as the global population rises along with the demand for better, higher quality medical devices. With just over 55 securities, XHE is very well rounded despite having a relatively shallow portfolio; the top ten holdings account for about a quarter of total assets. :::.";"Equity";"USD";"Healthcare (Medical Devices)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"C";"No FX risk for USD";"S&P Health Care Equipment";"Check";"Check";"Check";"Check";"Check"
"XHS";"SPDR S&P Health Care Services ETF";"No";"Ok";"Equity";"USD";"Healthcare (Services)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"C+";"No FX risk for USD";"S&P Health Care Services";"Check";"Check";"Check";"Check";"Check"
"XIV";"VelocityShares Daily Inverse VIX ST ETN";"No";"This ETN seeks to replicate an index that is designed to reflect the returns that are potentially available through an unleveraged investment in short-term futures contracts on the CBOE Volatility Index. This inverse volatility ETN endured nasty losses in 2011 as uncertainty plagued financial markets on all fronts. XIV stands to benefit as volatility inches lower; additionally, contango in the VIX markets has returned, which should give a nice boost to the strategy employed by this ETF. XIV employs a rather complex strategy to tap into volatility, which may turn away novice, risk-averse investors. Because it offers inverse exposure to an index comprised of short-term VIX futures, it essentially puts investors in the position of writing call options on the VIX. This product can benefit from low volatility levels in overall markets and allows for investors to make returns when volatility and equities are seemingly flat.:::.";"VIX";"USD";"Diversified";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Short";"No";"C+";"A";"No FX risk for USD";"Daily Inverse VIX ST";"Check";"Check";"Check";"Check";"Check"
"XLB";"Materials Select Sector SPDR";"No";"Ok";"Equity";"USD";"Materials";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Materials SPDR";"Check";"Check";"Check";"Check";"Check"
"XLE";"Energy Select Sector SPDR";"No";"XLE tracks the Energy Select Sector index, a benchmark that is comprised of companies in the oil, gas & consumable fuels, and energy equipment & services industries. Its underlying portfolio of over 40 individual securities include many of the world’s largest oil producers, including Exxon Mobil Corporation, Chevron Corp, and Schlumberger. Compared to other energy options, XLE has an impressively low expense ratio of only 0.20%.:::.";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Energy SPDR";"Check";"Check";"Check";"Check";"Check"
"XLF";"Financial Select Sector SPDR";"No";"ok";"Equity";"USD";"Financials";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Financial SPDR";"Check";"Check";"Check";"Check";"Check"
"XLG";"Guggenheim Russell Top 50";"No";"The Russell Top 50 Index is a market capitalization weighted index of the 50 largest stocks in the Russell 3000 universe of U.S.-based equities. The index can be considered a representation of mega cap stocks";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"No";"No";"No";"Long";"No";"A-";"B+";"No FX risk for USD";"Russell Top 50";"Check";"Check";"Check";"Check";"Check"
"XLI";"Industrial Select Sector SPDR";"No";"ETF for day-trader: Be sure to have this ETF on your radar screen the first business day after the end of every month as ISM manufacturing data hits the street; this figure is compiled based on a survey of purchasing managers in the U.S. manufacturing industry.::.";"Equity";"USD";"Industrials";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Industrial SPDR";"Check";"Check";"Check";"Check";"Check"
"XLK";"Technology Select Sector SPDR";"No";"This ETF seeks to track the technology sector of the S&P 500 Index. This fund tracks the Technology Select Sector Index, which is comprised of nearly 100 securities, including industry giants like Apple, IBM, and Microsoft. Top ten holdings account for roughly two thirds of the entire portfolio.:::.";"Equity";"USD";"Technology";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Technology SPDR";"Check";"Check";"Check";"Check";"Check"
"XLP";"Consumer Staples Select Sector SPDR";"No";"ok";"Equity";"USD";"Consumer (Staples)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Consumer Staples SPDR";"Check";"Check";"Check";"Check";"Check"
"XLU";"Utilities Select Sector SPDR";"No";"XLU is the biggest fund offering exposure to the domestic utilities sector and it holds a portfolio of the largest companies from the following industries: electric utilities, multi-utilities, independent power producers & energy traders, and gas utilities. It holds less than 40 companies total and allocates over half of its assets to the top ten holdings alone. This ETF is by far one of the cheapest options available in the utilities space and its vast liquidity makes it a useful tool for active traders seeking shorter-term tactical allocation to this particular asset class. Investors seeking more broad-based exposure should consider JXI, which tracks the performance of the utilities sector of the global equity market.::.";"Equity";"USD";"Utilities";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Utilities SPDR";"Check";"Check";"Check";"Check";"Check"
"XLV";"Health Care Select Sector SPDR";"No";"This fund is designed to measure the performance of companies in the following industries: pharmaceuticals; health care providers & services; health care equipment & supplies; biotechnology; life sciences tools & services; and health care technology. This ETF is perhaps one of the most popular and cheapest options for gaining exposure to the U.S. health sector. Despite having a relatively small portfolio of about 50 holdings, XLV is surprisingly well rounded and diversified across different sub-industries of the U.S. health sector.::.";"Equity";"USD";"Healthcare";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Health Care SPDR";"Check";"Check";"Check";"Check";"Check"
"XLY";"Consumer Discret Select Sector SPDR";"No";"ok";"Equity";"USD";"Consumer (Discretionaries)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Consumer Discret SPDR";"Check";"Check";"Check";"Check";"Check"
"XME";"SPDR S&P Metals & Mining";"No";"Ok";"Equity";"USD";"Industrials (Metals & Mining)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A+";"A";"No FX risk for USD";"S&P Metals & Mining";"Check";"Check";"Check";"Check";"Check"
"XMPT";"Market Vectors CEF Municipal Income ETF";"No";"Ok";"Bonds";"USD";"Munis";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"B-";"No FX risk for USD";"CEF Municipal Income";"Check";"Check";"Check";"Check";"Check"
"XOP";"SPDR S&P Oil & Gas Exploration & Prod";"No";"Ok";"Equity";"USD";"Energy (Oil & Gas Exploration & Production)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P Oil & Gas Exploration & Prod";"Check";"Check";"Check";"Check";"Check"
"XPH";"SPDR S&P Pharmaceuticals";"No";"Ok";"Equity";"USD";"Healthcare (Pharmaceutical)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"B";"No FX risk for USD";"S&P Pharmaceuticals";"Check";"Check";"Check";"Check";"Check"
"XPP";"ProShares Ultra FTSE China 25";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (China)";"CNY";"Mixed";"check";"No";"No";"No";"Long";"Yes";"C+";"B";"Yes";"Ultra China 25";"Check";"Check";"Check";"Check";"Check"
"XRT";"SPDR S&P Retail";"No";"ok";"Equity";"USD";"Consumer (Retail)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P Retail";"Check";"Check";"Check";"Check";"Check"
"XSD";"SPDR S&P Semiconductor";"No";"Ok";"Equity";"USD";"Technology (Semiconductors)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A-";"No FX risk for USD";"S&P Semiconductor";"Check";"Check";"Check";"Check";"Check"
"XSW";"SPDR S&P Software & Services ETF";"No";"Ok";"Equity";"USD";"Technology (Software)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"C";"No FX risk for USD";"S&P Software & Services";"Check";"Check";"Check";"Check";"Check"
"XTL";"SPDR S&P Telecom";"No";"Ok";"Equity";"USD";"Telecom";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"C+";"No FX risk for USD";"S&P Telecom";"Check";"Check";"Check";"Check";"Check"
"XTN";"SPDR S&P Transportation";"No";"Ok";"Equity";"USD";"Industrials (Transportation)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A+";"A-";"No FX risk for USD";"S&P Transportation";"Check";"Check";"Check";"Check";"Check"
"XVIX";"UBS E-TRACS Daily Long-Short VIX ETN";"No";"?";"VIX";"USD";"Diversified";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long/Short";"No";"A";"C+";"No FX risk for USD";"Daily Long-Short VIX";"Check";"Check";"Check";"Check";"Check"
"XVZ";"iPath S&P 500 Dynamic VIX ETN";"No";"CBOE Volatility Index is investable only via futures => roll-yield is important. (""rolling"" is selling a near expiration futures and buying a longer-term contract)";"VIX";"USD";"Diversified";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"No";"B-";"B";"No FX risk for USD";"S&P 500 Dynamic VIX";"Check";"Check";"Check";"Check";"Check"
"XXV";"iPath Inverse S&P 500 VIX Short-term Fut ETN";"No";"Reflects the returns that are potentially available through an unleveraged investment in short-term futures contracts on the CBOE Volatility Index. Utilizes price of 2 short-term (1st and 2nd months) VIX futures. CBOE Volatility Index is investable only via futures => roll-yield is important. (""rolling"" is selling a near expiration futures and buying a longer-term contract).";"VIX";"USD";"Diversified";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Short";"No";"B+";"C";"No FX risk for USD";"Inverse S&P 500 VIX Short-term Fut";"Check";"Check";"Check";"Check";"Check"
"YANG";"Direxion Daily China Bear 3X Shares";"No";"The BNY China Select ADR Index is a free float-adjusted capitalization-weighted index designed by the Bank of New York to track the performance of a basket of companies who have their primary equity listing on a stock exchange in China and which also have depositary receipts that trade on a U.S. exchange or on the NASDAQ. This leveraged ETF seeks a return that is -300% the return of its benchmark index for a single day. The fund should not be expected to provide three times the return of the benchmark’s cumulative return for periods greater than a day. Financials ~40%";"Equity";"USD";"Diversified";"Emerging Asia (China)";"CNY";"Large";"check";"No";"No";"No";"Short";"Yes";"B+";"B-";"Yes";"Daily China Bear 3X Shares";"Check";"Check";"Check";"Check";"Check"
"YAO";"Guggenheim China All-Cap";"No";"The index is designed to measure the performance of mainland China companies with a market capitalization of at least $500 million";"Equity";"USD";"Diversified";"Emerging Asia (China)";"CNY";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"B+";"Yes";"China All-Cap";"Check";"Check";"Check";"Check";"Check"
"YCL";"ProShares Ultra Yen";"No";"Ok";"Currency";"USD";"Currency JPY (Japanese Yen)";"Developed Asia (Japan)";"USD";"No";"check";"No";"No";"No";"Long";"Yes";"C";"A-";"Yes";"Ultra Yen";"Check";"Check";"Check";"Check";"Check"
"YCS";"ProShares UltraShort Yen";"No";"Ok";"Currency";"USD";"Currency JPY (Japanese Yen)";"Developed Asia (Japan)";"USD";"No";"check";"No";"No";"No";"Short";"Yes";"C+";"A";"Yes";"UltraShort Yen";"Check";"Check";"Check";"Check";"Check"
"YINN";"Direxion Daily China Bull 3X Shares";"No";"The BNY China Select ADR Index is a free float-adjusted capitalization-weighted index designed by the Bank of New York to track the performance of a basket of companies who have their primary equity listing on a stock exchange in China and which also have depositary receipts that trade on a U.S. exchange or on the NASDAQ. This leveraged ETF seeks a return that is +300% the return of its benchmark index for a single day. The fund should not be expected to provide three times the return of the benchmark’s cumulative return for periods greater than a day. Financials ~40%";"Equity";"USD";"Diversified";"Emerging Asia (China)";"CNY";"Large";"check";"No";"No";"No";"Long";"Yes";"B+";"B+";"Yes";"Daily China Bull 3X Shares";"Check";"Check";"Check";"Check";"Check"
"YMLP";"Yorkville High Income MLP ETF";"No";"Index consists of MLPs involved in oil exploration and production, natural gas exploration and production, the sale, distribution and retail marketing of propane and other natural gas liquids, crude oil shipping, dry bulk shipping, refined products transportation, liquefied natural gas shipping, other marine transportation, and the direct mining, production and marketing of natural resources, including timber, fertilizers, coal and other minerals, and royalty trusts, which typically own the rights to royalties on the production and sales of a natural resource, including oil, gas, minerals and timber. Master limited partnerships (MLPs). Given that so many MLPs are built around midstream, storage or energy transportation businesses, it’s not too surprising that the energy markets have a meaningful influence on these units. While some MLPs operate in regulated environments where prices are carefully controlled, others do not – in either case, changes in volume (often tied to the economic conditions of the region or country) can significantly impact anticipated distributions and unit prices. MLP ETFs/ETNs are best suited for those more interested in steady income accumulation as opposed to capital gains. Although MLPs don’t tend to be volatile on a day-to-day basis, they can move quite dramatically in response to new interest rate expectations or proposed changes to tax laws.";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"B+";"No FX risk for USD";"Yorkville High Income MLP";"Check";"Check";"Check";"Check";"Check"
"YPRO";"YieldPro ETF";"No";"managed by The Elements Financial Group. ETF of debt ETFs. Long & short. 50% US debt, 20% Equities";"Bonds";"USD";"Corporate (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Short";"No";"C";"Check";"No FX risk for USD";"YieldPro";"Check";"Check";"Check";"Check";"Check"
"YXI";"ProShares Short FTSE China 25";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (China)";"CNY";"Mixed";"check";"No";"No";"No";"Short";"No";"A-";"B";"Yes";"Short China 25";"Check";"Check";"Check";"Check";"Check"
"ZIV";"VelocityShares Daily Inverse VIX MT ETN";"No";"Ok";"VIX";"USD";"Diversified";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Short";"No";"C+";"B";"No FX risk for USD";"Daily Inverse VIX MT";"Check";"Check";"Check";"Check";"Check"
"ZROZ";"PIMCO 25+ Yr Zero Cpn U.S. Trsy Idx ETF";"No";"Ok";"Bonds";"USD";"State";"Developed North America (US)";"USD";"No";"check";"Long-Term";"No";"No";"Long";"No";"B-";"B+";"No FX risk for USD";"25+ Yr Zero Cpn U.S. Trsy";"Check";"Check";"Check";"Check";"Check"
"ZSL";"ProShares UltraShort Silver";"No";"Ok";"Commodities";"USD";"Precious Metals (Silver)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Short";"Yes";"B+";"A-";"Yes";"UltraShort Silver";"Check";"Check";"Check";"Check";"Check"
"CAPE";"Barclays ETN+ Shiller CAPE ETN";"No";"Incorporates the principles of long-term investing distilled by Dr. Robert Shiller and expressed through the CAPE™ (Cyclically Adjusted Price Earnings) Ratio. Aims to provide notional long exposure to the top four US equity sectors that are relatively undervalued as defined by a modified version of the classic CAPE™ Ratio and possess relatively stronger price momentum over the prior twelve months. On a monthly basis, the Index first assesses equity market valuation of the nine sectors based on their historical CAPETM Ratio. The Index then selects the top four undervalued sectors that possess relatively stronger price momentum over the prior twelve months and allocates an equally eighted 
notional long position in the total return version of each corresponding Sector Index.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"No";"No";"No";"Long";"No";"B";"C";"No FX risk for USD";"ETN+ Shiller CAPE";"Check";"Check";"Check";"Check";"Check"
"ATMP";"Barclays ETN+ Select MLP ETN";"No";"ok";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Large";"check";"No";"No";"No";"Long";"No";"B-";"B+";"No FX risk for USD";"ETN+ Select MLP";"Check";"Check";"Check";"Check";"Check"
"MLPC";"ETN Miller Howard MLP";"No";"25 MLPs selected using certain quantitative fundamental factors of MLPs, including distribution growth, estimated capital expenditures and distribution coverage. The Methodology aims to achieve this through a quarterly, rules-based selection of MLPs to be included in the Index for the following quarter based on certain observable fundamental factors.";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"Check";"No FX risk for USD";"Miller Howard MLP";"Check";"Check";"Check";"Check";"Check"
"IEMG";"Core MSCI Emerging Markets ETF";"No";"large, mid, and small cap equity market performance in the global emerging markets. China 17%, Skorea 15%. Financials 26%";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A";"A";"Yes";"Core Emerging Markets";"Check";"Check";"Check";"Check";"Check"
"IEFA";"Core MSCI EAFE ETF";"No";"large, mid, and small cap equity market performance and includes stocks from Europe, Australasia, and the Far East. Japan 22%, UK 18%. Financials 25%";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A";"A-";"Yes";"Core EAFE";"Check";"Check";"Check";"Check";"Check"
"FIGY";"Barclays ETN+ FI Enhanced Global High Yield ETN";"No";"arge and mid cap stocks across 24 Developed Markets countries, denominated in USD";"Equity";"USD";"Diversified";"Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"B-";"C+";"Yes";"ETN+ FI Enhanced Global High Yield";"Check";"Check";"Check";"Check";"Check"
"BNDX";"Total International Bond ETF";"No";"Ok";"Bonds";"USD";"State&Corporate";"Broad excl US";"Mixed";"No";"check";"Long-Term";"No";"No";"Long";"No";"B+";"Check";"Yes";"Total International Bond";"Check";"Check";"Check";"Check";"Check"
"FEEU";"Barclays ETN + FI Enhanced Europe 50 ETN";"No";"linked to a leveraged participation in the performance of the STOXX Europe 50® USD (Gross Return) Index. The Index is composed of 50 European blue-chip companies selected from within the STOXX Europe 600 Index. The investment seeks to approximate the returns that might be available to investors through a leveraged “long” investment in the Index.";"Equity";"USD";"Diversified";"Developed Europe";"Mixed";"Large";"Capitalisation";"No";"No";"No";"Long";"Yes";"A";"Check";"Yes";"+ FI Enhanced Europe 50";"Check";"Check";"Check";"Check";"Check"
"IXUS";"Core MSCI Total International Stock ETF";"No";"ok";"Equity";"USD";"Diversified";"Broad excl US";"Mixed";"Large";"Free-float-adjusted cap";"No";"No";"No";"Long";"No";"A";"A-";"Yes";"Core Total International Stock";"Check";"Check";"Check";"Check";"Check"
"VIDI";"International Equity Fund";"No";"very divercified across countries. The index combines principles-based country and securities selection with sophisticated risk management. The index seeks to balance risk across developed and emerging economies and emphasizes those with favorable conditions for growth. VIDIX identifies countries outside the United States that promote human productivity, as measured by dozens of research metrics. Vident Financial integrates this research into a systematic, structured selection process that results in an index with broad allocation among developed and emerging markets in countries that exhibit an adherence to these principles. Methodology of weighting is here :http://www.videntfinancialsolutions.com/Portals/2/docs/Vident%20International%20Equity%20-%20VIDI%20Methodology%20Summary%20-%20Short.pdf";"Equity";"USD";"Diversified";"Broad excl US";"Mixed";"Medium";"check";"Fundamentals";"No";"No";"Long";"No";"C+";"A-";"Yes";"International Equity";"Check";"Check";"Check";"Check";"Check"
"SRLN";"SPDR Blackstone GSO Senior Loan ETF";"No";"Ok";"Bonds";"USD";"Corporate (Bank Loans)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C+";"A-";"No FX risk for USD";"Blackstone GSO Senior Loan";"Check";"Check";"Check";"Check";"Check"
"LEMB";"Emerging Markets Local Currency Bond ETF";"No";"sovereign, local currency bond markets of emerging market countries";"Bonds";"USD";"State";"Emerging Broad";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"B";"B";"Yes";"Emerging Markets Local Currency Bond";"Check";"Check";"Check";"Check";"Check"
"FBGX";"UBS AG FI Enhanced Large Cap Growth ETN";"No";"ProShares Ultra Russell 1000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Growth Index.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"No";"High P/E";"No";"Long";"Yes";"C";"Check";"No FX risk for USD";"UBS AG FI Enhanced Large Cap Growth";"Check";"Check";"Check";"Check";"Check"
"FLGE";"FI Large Cap Growth Enhanced ETN";"No";"ProShares Ultra Russell 1000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Growth Index.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"No";"High P/E";"No";"Long";"Yes";"C";"Check";"No FX risk for USD";"FI Large Cap Growth Enhanced";"Check";"Check";"Check";"Check";"Check"
"QDF";"FlexShares Quality Dividend Index Fund";"No";"ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"Dividends";"Long";"No";"B+";"A-";"No FX risk for USD";"FlexShares Quality Dividend";"Check";"Check";"Check";"Check";"Check"
"QUAL";"MSCI USA Quality Factor ETF";"Fundamentals";"stocks with high quality scores based on three main fundamental variables: high return on equity (ROE), stable year over ear earnings growth and low financial leverage.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"check";"Fundamentals";"No";"No";"Long";"No";"A";"Check";"No FX risk for USD";"USA Quality Factor";"Check";"Check";"Check";"Check";"Check"
"PHDG";"PowerShares S&P 500 Downside Hedged Portfolio";"No";"broad equity market exposure with an implied volatility hedge by dynamically allocating its notional investments among three components: equity, volatility and cash.";"Alternatives";"USD";"Multi-assets";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"No";"B+";"B+";"No FX risk for USD";"S&P 500 Downside Hedged Portfolio";"Check";"Check";"Check";"Check";"Check"
"FV";"Dorsey Wright Focus 5 ETF";"No";"Pf of ETFs targeted exposure to the five First Trust sector and industry based ETFs that DWA believes offer the greatest potential to outperform the other ETFs in the selection universe. ETFs are selected based on their relative strength and price momentum.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"Momentum";"No";"No";"Long";"No";"C";"Check";"No FX risk for USD";"Dorsey Wright Focus 5";"Check";"Check";"Check";"Check";"Check"
"MTUM";"MSCI USA Momentum Fund";"No";"stocks exhibiting higher momentum characteristics than the traditional market capitalization-weighted parent index, the MSCI USA Index, which includes U.S. large- and mid-capitalization stocks.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"check";"Momentum";"No";"No";"Long";"No";"A-";"Check";"No FX risk for USD";"USA Momentum";"Check";"Check";"Check";"Check";"Check"
"MORL";"ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN";"No";"Ok";"Real Estate";"USD";"Real Estate (Mortgage REITs)";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"Yes";"A";"B";"No FX risk for USD";"ETRACS Monthly Pay 2xLeveraged Mortgage REIT";"Check";"Check";"Check";"Check";"Check"
"NOBL";"S&P 500 Aristocrats ETF";"No";"stocks exhibiting higher momentum characteristics than the traditional market capitalization-weighted parent index, the MSCI USA Index, which includes U.S. large- and mid-capitalization stocks";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Large";"check";"No";"No";"Dividends";"Long";"No";"B+";"Check";"No FX risk for USD";"S&P 500 Aristocrats";"Check";"Check";"Check";"Check";"Check"
